SHIPMT_ID,ORIG_STATE,ORIG_MA,ORIG_CFS_AREA,DEST_STATE,DEST_MA,DEST_CFS_AREA,NAICS,QUARTER,SCTG,MODE,SHIPMT_VALUE,SHIPMT_WGHT,SHIPMT_DIST_GC,SHIPMT_DIST_ROUTED,TEMP_CNTL_YN,EXPORT_YN,EXPORT_CNTRY,HAZMAT,WGT_FACTOR
0000037,29,99999,29-99999,29,99999,29-99999,212,3,12,05,456,57038,105,143,N,N,N,N,42.3
0000038,27,378,27-378,27,378,27-378,325,2,20,05,95,1008,6,8,N,N,N,H,255.5
0000039,26,220,26-220,01,99999,01-99999,331,3,32,04,7491,275,649,778,N,N,N,N,104.7
0000040,18,176,18-176,18,176,18-176,45431,1,19,05,635,1159,27,30,N,N,N,H,146.2
0000041,17,176,17-176,51,545,51-545,325,1,23,14,153,41,700,882,N,N,N,N,279.1
0000042,55,99999,55-99999,55,376,55-376,4247,1,17,05,2055,4198,21,23,N,N,N,P,648.7
0000043,12,370,12-370,12,370,12-370,4238,3,24,05,1594,796,6,7,N,N,N,N,500.1
0000044,48,41700,48-41700,48,41700,48-41700,4232,2,43,05,112,116,3,3,N,N,N,N,149.3
0000045,53,440,53-440,39,198,39-198,334,3,38,14,113,5,1997,2443,N,N,N,N,351.4
0000046,36,408,36-408,26,99999,26-99999,4238,1,24,04,3554,486,568,708,N,N,N,N,198.8
0000047,47,400,47-400,37,268,37-268,337,2,39,04,108,2,415,500,N,N,N,N,58.4
0000048,47,368,47-368,34,408,34-408,335,3,39,04,3244,42,918,1069,N,N,N,N,402.6
0000049,18,99999,18-99999,26,220,26-220,332,2,33,04,28300,23524,425,536,N,N,N,N,37.8
0000050,55,99999,55-99999,55,376,55-376,311,2,06,04,22072,23472,118,160,Y,N,N,N,374.4
0000051,17,176,17-176,09,408,09-408,323,2,29,04,2021,938,765,864,N,N,N,N,40.0
0000052,34,428,34-428,20,312,20-312,5111,2,29,14,41,1,1045,1163,N,N,N,N,116.1
0000053,31,420,31-420,31,420,31-420,4241,3,27,05,438,537,7,9,N,N,N,N,287.2
0000054,05,99999,05-99999,42,99999,42-99999,4237,4,33,14,5,5,903,1081,N,N,N,N,160.1
0000055,19,99999,19-99999,36,99999,36-99999,336,3,34,04,819,102,730,887,N,N,N,N,79.5
0000056,48,206,48-206,48,206,48-206,212,2,31,05,583,27366,17,26,N,N,N,N,122.0
0000057,17,99999,17-99999,17,99999,17-99999,4239,4,41,05,3879,51141,59,74,N,N,N,N,316.1
0000058,27,378,27-378,17,99999,17-99999,4239,3,40,14,450,1,270,325,N,N,N,N,73.3
0000059,37,268,37-268,54,99999,54-99999,4244,3,43,05,2232,1109,110,146,N,N,N,N,9337.4
0000060,42,99999,42-99999,42,99999,42-99999,321,1,26,04,4214,12293,10,15,N,N,N,N,302.0
0000061,25,148,25-148,25,148,25-148,212,3,12,05,122,43101,5,9,N,N,N,N,72.2
0000062,32,99999,32-99999,32,99999,32-99999,334,2,35,05,6725,540,10,10,N,N,N,N,277.4
0000063,38,99999,38-99999,38,99999,38-99999,332,1,32,05,18367,24922,3,4,N,N,N,N,27.5
0000064,06,348,06-348,06,348,06-348,4244,4,43,05,726,1742,107,119,Y,N,N,N,6649.2
0000065,06,99999,06-99999,19,99999,19-99999,5111,3,29,14,108,3,1546,2031,N,N,N,N,343.7
0000066,56,99999,56-99999,39,178,39-178,333,2,35,04,2241,194,1063,1196,N,N,N,N,388.9
0000067,01,99999,01-99999,01,99999,01-99999,334,1,35,14,353,4,5,5,N,N,N,N,268.6
0000068,05,99999,05-99999,40,416,40-416,4931,3,43,05,75680,33308,186,214,N,N,N,N,438.1
0000069,51,545,51-545,51,545,51-545,4237,4,43,05,842,165,6,6,N,N,N,N,2264.4
0000070,29,312,29-312,29,312,29-312,326,1,24,04,11108,8869,4,6,N,N,N,N,123.4
0000071,06,348,06-348,06,348,06-348,337,2,39,05,481,47,47,54,N,N,N,N,1305.4
0000072,55,376,55-376,17,176,17-176,312,1,08,04,20705,45313,74,89,N,N,N,N,1267.0
0000073,23,99999,23-99999,23,99999,23-99999,327,3,34,04,362,45,9,9,N,N,N,N,226.1
0000074,39,99999,39-99999,39,184,39-184,327,1,31,04,33689,51470,55,71,N,N,N,N,52.9
0000075,36,408,36-408,34,408,34-408,4236,4,35,14,1100,5,17,24,N,N,N,N,274.9
0000076,45,99999,45-99999,45,99999,45-99999,4248,3,08,05,28357,9221,123,139,N,N,N,N,264.1
0000077,51,40060,51-40060,42,99999,42-99999,332,2,34,04,1182,362,373,502,N,N,N,N,24.9
0000078,39,184,39-184,34,408,34-408,332,4,40,11,796,4,391,1619,N,Y,O,N,3099.9
0000079,01,142,01-142,28,99999,28-99999,4233,4,32,05,978,143,133,148,N,N,N,N,665.3
0000080,13,122,13-122,13,122,13-122,4233,2,31,05,3021,14688,4,5,N,N,N,N,804.8
0000081,01,99999,01-99999,45,273,45-273,323,4,29,14,2189,13,259,369,N,N,N,N,33.6
0000082,08,216,08-216,08,216,08-216,4241,3,27,05,705,650,8,12,N,N,N,N,1120.3
0000083,56,99999,56-99999,56,99999,56-99999,4244,4,07,05,2864,9525,26,26,N,N,N,N,104.3
0000084,51,99999,51-99999,49,482,49-482,311,4,07,04,175781,47767,1759,2083,Y,N,N,N,57.3
0000085,06,348,06-348,06,348,06-348,315,4,30,04,3503,261,24,35,N,N,N,N,864.7
0000086,35,99999,35-99999,48,238,48-238,4249,3,43,05,4588,1371,234,281,Y,N,N,N,516.5
0000087,42,408,42-408,13,122,13-122,326,1,24,04,7698,4233,695,844,N,N,N,N,95.1
0000088,09,25540,09-25540,48,238,48-238,339,2,33,11,87,7,1965,2019,N,N,N,N,175.6
0000089,01,99999,01-99999,12,99999,12-99999,323,1,29,04,1004,577,134,161,N,N,N,N,24.9
0000090,06,348,06-348,47,400,47-400,314,2,30,14,89,12,1775,2011,N,N,N,N,401.8
0000091,42,408,42-408,42,408,42-408,324,3,19,04,1,1,3,3,N,N,N,N,41.6
0000092,35,99999,35-99999,48,206,48-206,4541,1,23,14,59,16,557,731,N,N,N,N,1476.4
0000093,19,99999,19-99999,55,99999,55-99999,326,1,24,11,210,104,329,467,N,N,N,N,90.1
0000094,51,545,51-545,51,40060,51-40060,4234,4,41,05,2420,48016,20,24,N,N,N,N,114.9
0000095,27,378,27-378,27,378,27-378,321,2,26,04,108,9,8,12,N,N,N,N,138.7
0000096,04,38060,04-38060,04,38060,04-38060,4245,1,02,04,7238,60311,8,12,N,N,N,N,297.3
0000097,36,99999,36-99999,36,99999,36-99999,323,2,29,05,409,94,11,11,N,N,N,N,893.9
0000098,27,99999,27-99999,17,176,17-176,337,2,26,14,41,4,417,525,N,N,N,N,355.2
0000099,21,350,21-350,39,212,39-212,4237,1,33,04,1182,213,149,173,N,N,N,N,575.2
0000100,39,184,39-184,53,500,53-500,332,1,40,04,18,1,2029,2424,N,N,N,N,1548.4
0000101,33,99999,33-99999,37,450,37-450,335,2,35,14,2190,75,673,740,N,N,N,N,77.1
0000102,42,430,42-430,42,430,42-430,323,3,29,14,7,38,30,49,N,N,N,N,40.6
0000103,39,184,39-184,48,206,48-206,311,1,06,04,4674,13195,951,1150,N,N,N,N,679.9
0000104,42,408,42-408,42,408,42-408,212,4,12,04,229,45948,11,13,N,N,N,N,662.4
0000105,20,312,20-312,20,312,20-312,311,1,06,05,9678,28594,5,5,Y,N,N,N,18.0
0000106,29,312,29-312,20,312,20-312,4238,3,23,04,12,10,28,34,N,N,N,N,3558.6
0000107,42,99999,42-99999,42,99999,42-99999,45431,1,19,05,159,227,6,12,N,N,N,H,3524.3
0000108,31,99999,31-99999,45,99999,45-99999,334,2,40,04,1302,469,1015,1267,N,N,N,N,202.9
0000109,42,99999,42-99999,17,176,17-176,323,4,29,14,1,1,626,730,N,N,N,N,587.3
0000110,21,350,21-350,21,99999,21-99999,4238,1,34,14,50,8,102,116,N,N,N,N,476.0
0000111,26,266,26-266,34,428,34-428,336,3,36,04,599,232,591,733,N,N,N,N,1739.8
0000112,29,99999,29-99999,04,38060,04-38060,4541,4,30,14,214,4,1196,1512,N,N,N,N,34515.4
0000113,55,376,55-376,55,376,55-376,4234,1,38,05,7218,637,12,14,N,N,N,N,34.8
0000114,48,41700,48-41700,48,41700,48-41700,4244,2,05,05,94,28,6,8,Y,N,N,N,1667.7
0000115,36,408,36-408,34,408,34-408,322,4,24,04,764,373,18,23,N,N,N,N,279.8
0000116,19,99999,19-99999,19,99999,19-99999,4247,1,18,04,25077,60527,62,82,N,N,N,P,124.8
0000117,18,294,18-294,18,294,18-294,336,4,36,04,9235,5348,11,14,N,N,N,N,807.5
0000118,51,40060,51-40060,51,47900,51-47900,4931,1,43,05,92612,41384,83,99,N,N,N,N,348.1
0000119,37,172,37-172,25,148,25-148,4236,1,35,14,96,1,728,874,N,N,N,N,296.4
0000120,09,408,09-408,25,148,25-148,311,3,43,05,29,14,102,115,N,N,N,N,480.5
0000121,21,350,21-350,39,178,39-178,4236,4,40,14,511,2,122,138,N,N,N,N,300.9
0000122,29,312,29-312,20,312,20-312,337,2,26,05,6378,825,7,9,N,N,N,N,14.2
0000123,27,99999,27-99999,27,99999,27-99999,4238,1,34,05,66864,9128,27,29,N,N,N,N,23.5
0000124,49,482,49-482,49,482,49-482,312,1,08,05,1730,3448,3,4,N,N,N,N,79.3
0000125,32,99999,32-99999,32,99999,32-99999,323,2,29,05,218,4,9,9,N,N,N,N,185.7
0000126,21,178,21-178,39,212,39-212,4241,2,28,14,27,10,82,100,N,N,N,N,302.6
0000127,17,176,17-176,47,99999,47-99999,4238,2,38,14,346,1,446,513,N,N,N,N,3860.7
0000128,20,99999,20-99999,20,99999,20-99999,4247,2,18,05,5922,14062,16,16,N,N,N,P,1101.0
0000129,48,206,48-206,48,206,48-206,4244,2,03,05,731,728,18,22,Y,N,N,N,2911.3
0000130,31,99999,31-99999,04,536,04-536,339,2,38,04,28230,16265,1026,1409,N,N,N,N,72.5
0000131,12,300,12-300,37,172,37-172,337,1,39,14,35,5,381,428,N,N,N,N,93.4
0000132,23,99999,23-99999,23,99999,23-99999,4238,3,36,04,1112,13,60,69,N,N,N,N,175.5
0000133,06,488,06-488,12,99999,12-99999,4239,3,40,14,109,4,2050,2470,N,N,N,N,3701.7
0000134,06,348,06-348,06,348,06-348,323,1,30,05,542,27,40,47,N,N,N,N,456.3
0000135,39,184,39-184,06,488,06-488,4232,1,40,14,173,33,2170,2456,N,N,N,N,4189.9
0000136,28,99999,28-99999,28,99999,28-99999,212,3,12,05,715,52435,31,37,N,N,N,N,8.0
0000137,09,25540,09-25540,29,476,29-476,335,3,33,14,678,12,965,1095,N,N,N,N,280.4
0000138,39,00000,39-00000,06,348,06-348,4241,4,25-30,02,385,12,2041,2057,N,N,N,N,2118.8
0000139,47,99999,47-99999,24,99999,24-99999,331,4,32,04,34684,36510,396,548,N,N,N,N,37.8
0000140,33,99999,33-99999,33,99999,33-99999,4246,2,40,05,12,2,7,15,N,N,N,N,1964.1
0000141,06,348,06-348,36,104,36-104,4243,3,30,04,167985,31988,2414,2784,N,N,N,N,48.6
0000142,41,440,41-440,41,440,41-440,4243,2,30,04,397,216,8,14,N,N,N,N,230.7
0000143,06,472,06-472,06,472,06-472,323,1,43,05,74,7,43,57,N,N,N,N,3033.6
0000144,26,266,26-266,26,220,26-220,4249,2,43,05,118,75,127,143,Y,N,N,N,5948.5
0000145,48,238,48-238,48,238,48-238,4238,3,34,05,1650,73,15,18,N,N,N,N,558.1
0000146,48,99999,48-99999,48,99999,48-99999,4238,4,40,04,360,36,27,37,N,N,N,N,5080.7
0000147,44,148,44-148,36,99999,36-99999,334,3,35,14,388,1,247,333,N,N,N,N,441.6
0000148,02,99999,02-99999,02,99999,02-99999,4247,3,18,05,9842,28881,5,5,N,N,N,P,324.9
0000149,06,348,06-348,06,348,06-348,4238,1,37,05,60,2,14,16,N,N,N,N,1117.9
0000150,39,184,39-184,39,184,39-184,339,1,38,14,1540,2,9,9,N,N,N,N,241.4
0000151,55,99999,55-99999,26,220,26-220,336,1,36,04,2495,456,277,467,N,N,N,N,115.3
0000152,16,99999,16-99999,06,41740,06-41740,311,3,07,14,220,49,742,1077,N,N,N,N,257.3
0000153,45,99999,45-99999,01,99999,01-99999,325,2,24,04,44182,40909,328,433,N,N,N,N,87.0
0000154,53,440,53-440,32,99999,32-99999,4231,1,36,14,191,29,450,594,N,N,N,N,282.7
0000155,40,416,40-416,40,416,40-416,4246,4,23,04,25,9,3,4,N,N,N,N,713.3
0000156,53,99999,53-99999,53,99999,53-99999,4244,1,03,04,5349,9264,3,5,Y,N,N,N,65.4
0000157,34,408,34-408,06,348,06-348,4239,4,40,14,23,1,2411,2750,N,N,N,N,4332.9
0000158,36,99999,36-99999,36,99999,36-99999,4235,1,32,05,86,9,23,26,N,N,N,N,1176.1
0000159,34,408,34-408,09,408,09-408,4244,3,07,05,820,330,63,75,Y,N,N,N,3342.3
0000160,21,99999,21-99999,06,488,06-488,4541,1,40,14,15,1,1871,2277,N,N,N,N,3469.4
0000161,39,184,39-184,42,430,42-430,4245,4,34,14,18,5,95,109,N,N,N,N,193.8
0000162,36,99999,36-99999,12,99999,12-99999,334,1,37,11,54018,23,1005,1213,N,N,N,N,66.5
0000163,34,408,34-408,36,160,36-160,326,1,36,04,835,29,290,401,N,Y,C,N,314.6
0000164,42,428,42-428,47,314,47-314,335,2,35,04,12554,3801,559,635,N,N,N,H,163.3
0000165,13,122,13-122,47,99999,47-99999,4236,1,35,14,95,9,168,237,N,N,N,N,917.7
0000166,51,47900,51-47900,51,545,51-545,4242,2,21,14,264,22,128,153,N,N,N,N,287.7
0000167,37,172,37-172,05,99999,05-99999,327,2,31,14,209,23,762,947,N,N,N,N,129.6
0000168,39,178,39-178,39,198,39-198,4233,3,26,05,177,110,122,134,N,N,N,N,235.6
0000169,19,99999,19-99999,19,99999,19-99999,333,1,36,14,176,11,143,205,N,N,N,N,274.5
0000170,51,99999,51-99999,48,99999,48-99999,326,4,24,04,22112,28239,1042,1290,N,N,N,N,106.6
0000171,39,99999,39-99999,22,99999,22-99999,325,3,24,04,28385,42482,735,898,Y,N,N,N,80.2
0000172,21,350,21-350,06,488,06-488,339,4,38,14,198,1,1955,2345,N,N,N,N,4629.3
0000173,19,99999,19-99999,19,99999,19-99999,4233,2,26,05,392,499,14,21,N,N,N,N,932.5
0000174,04,99999,04-99999,23,99999,23-99999,5111,4,29,14,3,1,2247,2662,N,N,N,N,255.8
0000175,17,176,17-176,25,148,25-148,4239,3,40,04,61,16,849,999,N,N,N,N,16935.4
0000176,39,99999,39-99999,39,99999,39-99999,4238,3,34,05,1,1,13,13,N,N,N,N,2592.8
0000177,04,38060,04-38060,04,536,04-536,323,1,38,04,992,193,99,132,N,N,N,N,867.5
0000178,42,99999,42-99999,34,408,34-408,336,4,36,14,2287,2,241,278,N,N,N,N,1517.0
0000179,18,176,18-176,42,428,42-428,313,3,30,04,19807,17752,624,714,N,N,N,N,46.2
0000180,06,260,06-260,24,99999,24-99999,4249,2,29,14,104,6,2420,2909,N,N,N,N,1107.8
0000181,42,428,42-428,42,428,42-428,327,3,31,05,2093,13175,28,40,N,N,N,N,21.3
0000182,19,99999,19-99999,19,99999,19-99999,315,4,30,14,10933,118,231,278,N,N,N,N,14.2
0000183,39,99999,39-99999,18,99999,18-99999,4231,3,36,14,59,21,195,252,N,N,N,N,917.8
0000184,48,288,48-288,48,41700,48-41700,4541,2,21,14,1,1,178,187,N,N,N,N,1555.8
0000185,09,25540,09-25540,31,420,31-420,4238,4,40,14,397,11,1208,1358,N,N,N,N,456.9
0000186,46,99999,46-99999,46,99999,46-99999,321,3,26,05,1343,6880,11,11,N,N,N,N,113.2
0000187,13,122,13-122,45,16700,45-16700,325,3,24,04,46764,46764,195,222,N,N,N,N,40.6
0000188,51,545,51-545,36,408,36-408,4237,4,33,04,6885,2089,374,538,N,N,N,N,561.8
0000189,53,99999,53-99999,16,99999,16-99999,4235,3,33,05,64,54,110,158,N,N,N,N,812.4
0000190,33,148,33-148,09,25540,09-25540,325,3,29,14,308,5,109,141,N,N,N,N,34.8
0000191,41,440,41-440,06,348,06-348,334,2,35,04,168,13,884,1082,N,N,N,N,855.2
0000192,39,212,39-212,39,198,39-198,4249,3,24,05,1965,655,60,73,N,N,N,N,93.3
0000193,45,273,45-273,45,273,45-273,4244,3,07,05,202,260,11,17,N,N,N,N,8914.4
0000194,06,41740,06-41740,54,99999,54-99999,325,3,21,14,186,1,2109,2482,N,N,N,N,2429.0
0000195,22,12940,22-12940,22,12940,22-12940,325,2,20,12,145272,1117478,6,6,N,N,N,H,81.1
0000196,48,288,48-288,48,204,48-204,325,4,23,05,6316,2377,155,198,N,N,N,P,524.2
0000197,41,99999,41-99999,53,500,53-500,4238,2,34,14,44,1,337,413,N,N,N,N,2892.4
0000198,48,206,48-206,06,488,06-488,4236,1,35,14,106,2,1474,1822,N,N,N,N,2801.7
0000199,33,148,33-148,48,206,48-206,339,3,30,14,168,21,1605,1868,N,N,N,N,37.1
0000200,17,176,17-176,39,184,39-184,4247,4,19,04,49191,48605,309,336,N,N,N,N,72.7
0000201,09,25540,09-25540,45,99999,45-99999,332,3,33,11,2661,36,684,760,N,N,N,N,361.3
0000202,37,268,37-268,42,99999,42-99999,332,1,33,04,4341,6591,425,549,N,N,N,N,63.0
0000203,51,40060,51-40060,39,99999,39-99999,321,1,26,05,12836,39615,279,385,N,N,N,N,46.6
0000204,42,430,42-430,54,99999,54-99999,331,3,32,04,13650,36842,37,50,N,N,N,N,2783.0
0000205,38,99999,38-99999,27,378,27-378,333,2,34,14,88,3,277,321,N,N,N,N,202.5
0000206,20,556,20-556,54,99999,54-99999,325,4,30,04,9340,330,925,1057,Y,N,N,N,18.6
0000207,31,99999,31-99999,01,99999,01-99999,4541,1,36,14,45,2,929,1159,N,N,N,N,4479.5
0000208,51,545,51-545,13,99999,13-99999,315,1,40,14,9,4,526,626,N,N,N,N,161.7
0000209,17,476,17-476,17,476,17-476,4248,3,08,05,466,450,30,40,N,N,N,N,939.0
0000210,17,176,17-176,09,25540,09-25540,4238,1,35,14,96,9,789,912,N,N,N,N,6743.9
0000211,15,99999,15-99999,15,99999,15-99999,4248,2,08,05,1210,851,41,41,N,N,N,N,319.7
0000212,48,206,48-206,48,238,48-238,326,4,40,04,7313,7039,580,672,N,N,N,N,535.2
0000213,55,99999,55-99999,55,376,55-376,311,2,06,04,21095,31353,118,160,Y,N,N,N,368.6
0000214,20,312,20-312,29,476,29-476,323,4,29,14,41,2,240,251,N,N,N,N,590.3
0000215,30,99999,30-99999,09,25540,09-25540,4541,2,40,14,60,3,2051,2489,N,N,N,N,529.1
0000216,42,428,42-428,37,268,37-268,336,4,23,04,4575,1759,375,486,N,N,N,N,210.6
0000217,08,99999,08-99999,08,99999,08-99999,4238,4,43,05,53,11,12,12,N,N,N,N,4704.6
0000218,18,99999,18-99999,18,99999,18-99999,4246,3,33,05,726,110,54,66,N,N,N,N,133.6
0000219,39,178,39-178,39,178,39-178,4246,1,24,05,393,105,12,13,N,N,N,N,225.2
0000220,12,99999,12-99999,12,370,12-370,4241,4,43,05,10447,16495,82,89,N,N,N,N,1285.3
0000221,06,488,06-488,06,488,06-488,4248,1,08,05,394,60,21,27,N,N,N,N,4504.1
0000222,06,348,06-348,53,500,53-500,4241,1,39,04,692,207,923,1112,N,N,N,N,122.0
0000223,17,99999,17-99999,17,99999,17-99999,325,3,08,04,13752,44369,152,201,N,N,N,P,19.8
0000224,49,482,49-482,49,482,49-482,312,1,08,05,897,836,4,5,N,N,N,N,16.0
0000225,37,268,37-268,37,268,37-268,4237,1,34,14,221,3,6,8,N,N,N,N,443.8
0000226,39,178,39-178,49,482,49-482,333,4,33,14,235,3,1457,1667,N,N,N,N,633.5
0000227,30,99999,30-99999,30,99999,30-99999,327,1,31,04,4946,40327,73,92,N,N,N,N,35.9
0000228,27,378,27-378,27,378,27-378,4249,4,03,05,228,69,6,7,Y,N,N,N,3950.2
0000229,55,376,55-376,17,99999,17-99999,4238,4,24,14,25,2,69,81,N,N,N,N,1631.7
0000230,38,99999,38-99999,46,99999,46-99999,339,1,38,14,545,2,86,92,N,N,N,N,166.4
0000231,25,148,25-148,25,148,25-148,336,1,37,11,26455,80,28,42,N,Y,O,N,25.6
0000232,34,408,34-408,13,122,13-122,325,1,24,04,17594,4399,729,890,N,N,N,N,18.2
0000233,06,348,06-348,04,99999,04-99999,4242,1,21,14,130,5,194,239,N,N,N,N,5044.4
0000234,28,99999,28-99999,39,99999,39-99999,336,3,35,04,5498,158,795,936,N,N,N,N,52.8
0000235,25,148,25-148,33,148,33-148,332,3,34,05,816,8,40,51,N,N,N,N,1461.2
0000236,56,99999,56-99999,56,99999,56-99999,4237,1,43,05,17,3,30,30,N,N,N,N,133.6
0000237,04,536,04-536,35,99999,35-99999,4234,3,40,14,398,15,323,459,N,N,N,N,1956.4
0000238,49,482,49-482,06,348,06-348,335,4,35,14,14909,140,589,691,N,N,N,N,70.5
0000239,36,99999,36-99999,47,368,47-368,313,2,30,04,900,1866,981,1146,N,N,N,N,27.1
0000240,26,220,26-220,29,99999,29-99999,333,4,34,14,2287,6,612,734,N,N,N,N,574.0
0000241,19,99999,19-99999,27,378,27-378,331,4,32,04,11252,33620,270,394,N,N,N,N,402.9
0000242,08,216,08-216,13,122,13-122,337,3,29,14,189,10,1218,1411,N,N,N,N,2016.1
0000243,12,370,12-370,12,370,12-370,4244,2,03,05,80,7,19,25,Y,N,N,N,6614.4
0000244,37,99999,37-99999,37,99999,37-99999,327,3,31,05,1347,21992,5,7,N,N,N,N,3030.6
0000245,06,488,06-488,06,488,06-488,4245,3,03,04,1027,1869,74,92,N,N,N,N,707.3
0000246,39,178,39-178,42,99999,42-99999,339,3,38,14,46986,36,406,459,N,N,N,N,117.8
0000247,53,500,53-500,06,99999,06-99999,4246,2,24,14,187,62,847,1034,N,N,N,N,218.8
0000248,37,99999,37-99999,48,288,48-288,337,4,39,04,1822,448,923,1049,N,N,N,N,2455.3
0000249,47,368,47-368,29,99999,29-99999,4231,1,36,04,1141,167,60,100,N,N,N,N,1000.5
0000250,04,536,04-536,48,99999,48-99999,212,1,32,04,197369,50868,577,765,N,N,N,N,22.7
0000251,41,99999,41-99999,06,348,06-348,339,1,40,14,58,2,722,830,N,N,N,N,42.5
0000252,06,348,06-348,06,41740,06-41740,4243,4,30,05,90,5,99,116,N,N,N,N,2463.2
0000253,29,312,29-312,18,258,18-258,4242,1,21,04,55652,8569,513,661,N,N,N,N,23.6
0000254,29,312,29-312,31,99999,31-99999,4236,2,34,14,37,1,267,340,N,N,N,N,387.4
0000255,36,160,36-160,20,556,20-556,336,1,37,14,203,11,1042,1177,N,N,N,N,326.5
0000256,36,464,36-464,36,464,36-464,4236,2,35,14,54,13,11,15,N,N,N,N,3056.1
0000257,36,99999,36-99999,36,99999,36-99999,212,3,12,05,220,39887,14,15,N,N,N,N,294.3
0000258,39,198,39-198,17,176,17-176,4931,3,23,04,12650,1092,279,359,N,N,N,N,563.9
0000259,15,99999,15-99999,15,99999,15-99999,323,2,29,05,973,77,9,21,N,N,N,N,106.4
0000260,39,99999,39-99999,39,184,39-184,4234,1,28,05,637,127,129,147,N,N,N,N,2920.9
0000261,24,99999,24-99999,06,41740,06-41740,4234,1,38,14,55,1,2324,2780,N,N,N,N,20.8
0000262,51,99999,51-99999,51,99999,51-99999,4244,2,43,05,1123,4214,81,88,Y,N,N,N,479.9
0000263,06,488,06-488,06,488,06-488,332,3,33,04,1500,2363,33,43,N,N,N,N,184.8
